,Name,Price,Stores,Rating,Votes,Switches,Colors
0,Zeroground KB-2800G Satomi,53.99 ,59,4.6,27,Outemu Red,0
1,Razer Cynosa Lite Chroma,38.88 ,40,4.2,44,Membrane,0
2,Zeroground KB-2700G Sakimo,43.99 ,64,4.6,8,Outemu Blue,0
3,Zeroground KB-2400G Taigen v2.0,43.80 ,68,4.4,38,Custom Mechanical,0
4,Razer Blackwidow Chroma Elite (Razer Green),134.47 ,34,4.7,69,Razer Green,0
5,Zeroground KB-2600G Simeto,29.99 ,54,4.3,22,Custom Blue,0
6,Zeroground KB-2300G Sagara,24.90 ,72,4.2,22,Membrane,0
7,Razer Huntsman Tournament Edition,124.00 ,21,4.8,34,Razer Linear,0
8,Philips SPK8614,32.80 ,35,4.7,26,Custom Blue,0
9,Zeroground Arai KB-1700GUMS,25.90 ,50,4.3,35,Membrane,0
10,Zeroground KB-2500G Hanzo v2.0,21.99 ,53,4.3,9,Membrane,0
11,NOD Metal Stealth,22.80 ,42,4.5,39,Membrane,0
12,Motospeed CK108 (Outemu Blue),39.98 ,22,4.6,172,Outemu Blue,0
13,Corsair K70 RGB MK.2 (Cherry MX Red),129.00 ,22,4.9,15,Cherry MX Red,0
14,Razer Huntsman Elite (Razer Linear Optical),192.85 ,21,4.7,58,Razer Linear,0
15,Corsair K55 RGB,56.05 ,21,4.6,64,Membrane,0
16,Philips Momentum,15.50 ,47,4.0,13,Key Lights,0
17,Razer Blackwidow Chroma Elite (Razer Yellow),148.10 ,22,4.7,69,Razer Yellow,0
18,HyperX Alloy Origins TKL (HyperX Red),104.00 ,13,5.0,8,HyperX Red,0
19,Logitech G213 Prodigy,52.65 ,28,4.6,39,Membrane,0
20,Philips SPK8614-BRS,33.00 ,37,4.5,6,Custom Brown,0
21,Motospeed CK108 (Outemu Black),36.70 ,19,4.6,172,Outemu Black,0
22,Conceptum Black Dragon G901,64.90 ,4,4.9,41,Custom Blue,0
23,Sades Neo Blademail,22.01 ,27,4.7,61,Membrane,0
24,Razer Huntsman Elite (Razer Clicky Optical),184.54 ,14,4.7,58,Razer Clicky,0
25,Logitech G512 Carbon (GX Blue),99.90 ,13,4.9,11,GX Blue,0
26,Razer Ornata Chroma,84.90 ,8,4.5,224,Membrane,0
27,Zeroground KB-1900GUHMS Sumiko Bundle,35.99 ,42,4.0,7,Membrane,0
28,Sharkoon Skiller Mech SGK3 (Kailh Red),63.87 ,13,4.9,15,Kailh Red,0
29,Motospeed CK61 (Outemu Blue),41.69 ,5,4.4,28,Outemu Blue,0
30,Motospeed CK108 (Outemu Red),38.77 ,15,4.6,172,Outemu Red,0
31,HyperX Alloy FPS RGB,94.08 ,9,4.8,13,Kailh Speed Silver,0
32,Corsair K68 RGB,109.90 ,25,4.4,18,Cherry MX Red,0
33,NOD Iron Strike,39.90 ,32,4.7,3,Xinda Blue,0
