Name,Price,Stores,Rating,Votes,Switches,Colors
Zeroground KB-2800G Satomi,53.99 €,σε 59 καταστήματα,4.6,27,Outemu Red,0
Razer Cynosa Lite Chroma,38.88 €,σε 40 καταστήματα,4.2,44,Μεμβράνης,0
Zeroground KB-2700G Sakimo,43.99 €,σε 64 καταστήματα,4.6,8,Outemu Blue,0
Zeroground KB-2400G Taigen v2.0,43.80 €,σε 68 καταστήματα,4.4,38,Custom Mechanical,0
Razer Blackwidow Chroma Elite (Razer Green),134.47 €,σε 34 καταστήματα,4.7,69,Razer Green,0
Zeroground KB-2600G Simeto,29.99 €,σε 54 καταστήματα,4.3,22,Custom Blue,0
Zeroground KB-2300G Sagara,24.90 €,σε 72 καταστήματα,4.2,22,Μεμβράνης,0
Razer Huntsman Tournament Edition,124.00 €,σε 21 καταστήματα,4.8,34,Razer Linear,0
Philips SPK8614,32.80 €,σε 35 καταστήματα,4.7,26,Custom Blue,0
Zeroground Arai KB-1700GUMS,25.90 €,σε 50 καταστήματα,4.3,35,Μεμβράνης,0
Zeroground KB-2500G Hanzo v2.0,21.99 €,σε 53 καταστήματα,4.3,9,Μεμβράνης,0
NOD Metal Stealth,22.80 €,σε 42 καταστήματα,4.5,39,Μεμβράνης,0
Motospeed CK108 (Outemu Blue),39.98 €,σε 22 καταστήματα,4.6,172,Outemu Blue,0
Corsair K70 RGB MK.2 (Cherry MX Red),129.00 €,σε 22 καταστήματα,4.9,15,Cherry MX Red,0
Razer Huntsman Elite (Razer Linear Optical),192.85 €,σε 21 καταστήματα,4.7,58,Razer Linear,0
Corsair K55 RGB,56.05 €,σε 21 καταστήματα,4.6,64,Μεμβράνης,0
Philips Momentum,15.50 €,σε 47 καταστήματα,4.0,13,Φωτιζόμενα Πλήκτρα,0
Razer Blackwidow Chroma Elite (Razer Yellow),148.10 €,σε 22 καταστήματα,4.7,69,Razer Yellow,0
HyperX Alloy Origins TKL (HyperX Red),104.00 €,σε 13 καταστήματα,5.0,8,HyperX Red,0
Logitech G213 Prodigy,52.65 €,σε 28 καταστήματα,4.6,39,Μεμβράνης,0
Philips SPK8614-BRS,33.00 €,σε 37 καταστήματα,4.5,6,Custom Brown,0
Motospeed CK108 (Outemu Black),36.70 €,σε 19 καταστήματα,4.6,172,Outemu Black,0
Conceptum Black Dragon G901,64.90 €,σε 4 καταστήματα,4.9,41,Custom Blue,0
Sades Neo Blademail,22.01 €,σε 27 καταστήματα,4.7,61,Μεμβράνης,0
Razer Huntsman Elite (Razer Clicky Optical),184.54 €,σε 14 καταστήματα,4.7,58,Razer Clicky,0
Logitech G512 Carbon (GX Blue),99.90 €,σε 13 καταστήματα,4.9,11,GX Blue,0
Razer Ornata Chroma,84.90 €,σε 8 καταστήματα,4.5,224,Μεμβράνης,0
Zeroground KB-1900GUHMS Sumiko Bundle,35.99 €,σε 42 καταστήματα,4.0,7,Μεμβράνης,0
Sharkoon Skiller Mech SGK3 (Kailh Red),63.87 €,σε 13 καταστήματα,4.9,15,Kailh Red,0
Motospeed CK61 (Outemu Blue),41.69 €,σε 5 καταστήματα,4.4,28,Outemu Blue,0
Motospeed CK108 (Outemu Red),38.77 €,σε 15 καταστήματα,4.6,172,Outemu Red,0
HyperX Alloy FPS RGB,94.08 €,σε 9 καταστήματα,4.8,13,Kailh Speed Silver,0
Corsair K68 RGB,109.90 €,σε 25 καταστήματα,4.4,18,Cherry MX Red,0
NOD Iron Strike,39.90 €,σε 32 καταστήματα,4.7,3,Xinda Blue,0
Armaggeddon MKA-3C Psychfalcon,30.00 €,σε 14 καταστήματα,4.5,39,Outemu Blue,0
CoolerMaster MK110,43.29 €,σε 6 καταστήματα,5.0,5,Μεμβράνης,0
CoolerMaster MK730,123.00 €,σε 7 καταστήματα,5.0,6,Cherry MX Brown,0
Motospeed Inflictor CK104 Silver (Outemu Red),36.83 €,σε 13 καταστήματα,4.7,914,Outemu Red,2
Motospeed Inflictor CK104 RGB Silver (Outemu Blue),35.38 €,σε 17 καταστήματα,4.7,914,Outemu Blue,2
Logitech G413 Black,72.90 €,σε 22 καταστήματα,4.6,74,Romer-G Tactile,2
Motospeed Inflictor CK104 RGB Silver (Outemu Black),35.02 €,σε 12 καταστήματα,4.7,914,Outemu Black,2
Razer Huntsman Black,108.39 €,σε 27 καταστήματα,4.5,27,Razer Clicky,3
Motospeed Inflictor CK104 RGB Red (Outemu Red),31.71 €,σε 13 καταστήματα,4.7,914,Outemu Red,2
Motospeed Inflictor CK104 RGB Red (Outemu Blue),31.49 €,σε 18 καταστήματα,4.7,914,Outemu Blue,2
Motospeed CK103 White (Outemu Blue),43.81 €,σε 9 καταστήματα,4.8,45,Outemu Blue,2
Motospeed K82 Black (Outemu Blue),38.30 €,σε 14 καταστήματα,4.8,12,Outemu Blue,2
Logitech G413 Silver,68.99 €,σε 28 καταστήματα,4.6,74,Romer-G Tactile,2
Motospeed CK62 RGB White (Outemu Red),46.00 €,στο Websupplies,4.4,27,Outemu Red,2
Motospeed K70,9.54 €,σε 18 καταστήματα,4.5,112,Μεμβράνης,0
Logitech G512 SE RGB,99.90 €,σε 7 καταστήματα,4.6,11,GX Blue,0
Razer BlackWidow Chroma (Razer Green),103.50 €,σε 19 καταστήματα,4.6,46,Razer Green,0
Razer Blackwidow Lite,83.55 €,σε 24 καταστήματα,4.4,9,Razer Orange,0
Armaggeddon RGB Raptor MKA-11R,46.60 €,σε 11 καταστήματα,4.9,7,Outemu Blue,0
White Shark GC-4102,28.60 €,σε 8 καταστήματα,4.3,12,Μεμβράνης,0
Orzly RX250-K,12.90 €,στο Kooqie,4.9,7,Φωτιζόμενα Πλήκτρα,0
Motospeed CK103 Black (Outemu Red),39.49 €,σε 12 καταστήματα,4.8,45,Outemu Red,0
A4Tech Bloody B120N,22.90 €,σε 37 καταστήματα,5.0,1,Μεμβράνης,0
A4Tech B500N,24.50 €,σε 35 καταστήματα,5.0,1,Μεμβράνης,0
CoolerMaster CK550 (Gateron Brown),77.64 €,σε 8 καταστήματα,4.5,23,Gateron Brown,0
Trust GXT 838 Azor,28.90 €,σε 9 καταστήματα,4.4,24,Μεμβράνης,0
SteelSeries Apex Pro TKL,209.90 €,στο Websupplies,5.0,5,SteelSeries OmniPoint,0
SteelSeries Apex Pro,230.00 €,σε 7 καταστήματα,4.7,10,SteelSeries OmniPoint,0
CoolerMaster CK350 (Outemu Brown),56.49 €,σε 3 καταστήματα,5.0,5,Outemu Brown,0
Motospeed K87S White (Kailh Blue),48.04 €,σε 8 καταστήματα,4.7,26,Kailh Blue,0
HyperX Alloy FPS Pro (Cherry MX Red),75.00 €,σε 12 καταστήματα,4.5,37,Cherry MX Red,0
Asus ROG Strix Flare,169.90 €,στο Nextspot Store,5.0,7,Φωτιζόμενα Πλήκτρα,0
Armaggeddon MKA-2C Psychraven,25.70 €,σε 13 καταστήματα,5.0,2,Μεμβράνης,0
HyperX Alloy Core RGB,55.40 €,σε 11 καταστήματα,4.8,5,Μεμβράνης,0
Armaggeddon MKA-5R,35.00 €,σε 5 καταστήματα,4.8,5,Custom Blue,0
Spartan Gear Minotaur,19.98 €,σε 10 καταστήματα,4.5,13,Custom Mechanical,0
Dell Alienware Pro Gaming Keyboard AW768,107.16 €,σε 10 καταστήματα,4.8,6,Kailh Brown,0
SteelSeries Apex 5,132.90 €,σε 12 καταστήματα,5.0,2,SteelSeries Hybrid Mechanical,0
Motospeed CK888 (Outemu Red),47.99 €,σε 4 καταστήματα,4.4,82,Outemu Red,0
ADX Firepower A01,24.90 €,στο Kotsovolos,5.0,4,Μεμβράνης,0
Orzly Hornet RX250 Essential Pack,36.90 €,στο Kooqie,4.8,5,Μεμβράνης,0
Motospeed K27 (Outemu Red),20.64 €,σε 6 καταστήματα,4.7,7,Outemu Red,0
Motospeed K87S White (Kailh Red),47.75 €,σε 7 καταστήματα,4.7,26,Kailh Red,0
Trust GXT 865 Asta,49.69 €,σε 13 καταστήματα,5.0,3,GTX Red,0
Spirit of Gamer Pro K5,19.20 €,σε 14 καταστήματα,4.7,7,Μεμβράνης,0
NOD Silver Sky,22.90 €,σε 6 καταστήματα,4.6,16,Μεμβράνης,0
Logitech G513 Carbon (GX Blue),179.90 €,σε 4 καταστήματα,4.5,24,GX Blue,0
Razer Cynosa Chroma,79.00 €,σε 5 καταστήματα,4.4,65,Μεμβράνης,0
Natec Tornado,34.68 €,σε 2 καταστήματα,5.0,4,Custom Blue,0
Motospeed CK104 Orion Special Edition RGB Silver (Outemu Red),37.30 €,σε 6 καταστήματα,5.0,3,Outemu Red,0
Philips SPK8403,56.00 €,στο Digitalife,4.7,11,Custom Blue,0
Sharkoon Skiller Mech SGK3 (Kailh Brown),64.37 €,σε 11 καταστήματα,4.9,15,Kailh Brown,0
Spartan Gear Cyclops,34.98 €,σε 11 καταστήματα,4.4,13,Outemu Blue,0
Logitech G Pro,127.58 €,σε 18 καταστήματα,4.2,25,GX Blue,0
Corsair K63 Wireless,169.00 €,σε 2 καταστήματα,5.0,4,Cherry MX Red,0
