Name,Price,Stores,Rating,Votes,Type,Connection,Colors
Philips K264,7.50 €,σε 41 καταστήματα,4.7,6,Keyboard Only,USB,0
Philips SPT6324 Black,9.99 €,σε 20 καταστήματα,4.1,25,Keyboard & Mouse Set,USB,0
Philips SPT6224 Black,8.93 €,σε 37 καταστήματα,4.7,3,Keyboard & Mouse Set,USB,0
Logitech MX Keys,106.44 €,σε 8 καταστήματα,4.5,8,Keyboard Only,Bluetooth / USB,0
Powertech PT-677,3.99 €,σε 67 καταστήματα,2.7,7,Keyboard Only,USB,0
Logitech Wireless Combo MK220,23.00 €,σε 42 καταστήματα,4.1,134,Keyboard & Mouse Set,USB,0
Logitech K120,10.14 €,σε 47 καταστήματα,4.4,46,Keyboard Only,USB,0
Logitech MK850 Performance,109.99 €,σε 20 καταστήματα,4.8,10,Keyboard & Mouse Set,USB,0
Powertech PT-913,14.82 €,σε 43 καταστήματα,4.3,4,Keyboard & Mouse Set,USB,0
Philips SPT6354,10.41 €,σε 37 καταστήματα,3.8,6,Keyboard Only,USB,0
Element KB-750W,5.26 €,σε 12 καταστήματα,4.3,47,Keyboard Only,USB,0
Microsoft Sculpt Comfort Desktop,47.99 €,σε 46 καταστήματα,4.1,15,Keyboard & Mouse Set,USB,0
Dell KM717 Premier,81.34 €,σε 14 καταστήματα,4.6,20,Keyboard & Mouse Set,USB,0
Powertech PT-678,7.02 €,σε 52 καταστήματα,4.0,1,Keyboard & Mouse Set,USB,0
Philips SPK6214 Black,6.89 €,σε 37 καταστήματα,5.0,1,Keyboard Only,USB,0
Logitech Wireless Combo MK270,27.99 €,σε 30 καταστήματα,4.2,57,Keyboard & Mouse Set,USB,0
Dell KB-522,17.35 €,σε 15 καταστήματα,4.7,37,Keyboard Only,USB,0
Microsoft Wireless Desktop 900,40.85 €,σε 19 καταστήματα,4.4,37,Keyboard & Mouse Set,USB,0
Conceptum KBW03,13.48 €,σε 10 καταστήματα,4.4,19,Keyboard & Mouse Set,USB,0
Powertech PT-915,13.18 €,σε 48 καταστήματα,0.0,,Keyboard & Mouse Set,USB,0
Microsoft All-in-One Media Keyboard,34.89 €,σε 24 καταστήματα,4.3,35,Keyboard with Touchpad,USB,0
NOD KBD-004,5.80 €,σε 46 καταστήματα,3.3,12,Keyboard Only,USB,0
Apple Magic Keyboard,104.87 €,σε 13 καταστήματα,4.4,19,Keyboard Only,Bluetooth,0
Riitek Rii i4,27.00 €,σε 2 καταστήματα,4.7,9,Keyboard with Touchpad,Bluetooth,0
Element KB-255WMS,8.90 €,σε 34 καταστήματα,3.0,2,Keyboard & Mouse Set,USB,0
Powertech PT-914,13.95 €,σε 40 καταστήματα,0.0,,Keyboard & Mouse Set,USB,0
Factory QY-K07,9.90 €,σε 11 καταστήματα,5.0,2,Keyboard with Touchpad,USB,0
